[2022-08-21T08:58:04.667982+00:00] local.INFO: 5XUdSEXZQa | HTTP/1.1 500 | 127.0.0.1 | null | GET http://localhost:8000 [] | 0.24935293197632 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T09:15:03.692277+00:00] local.INFO: SSPfJNcsXZ | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/platforms [] | 0.072567939758301 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin ["RESPONSE"] []
[2022-08-21T09:34:30.309951+00:00] local.INFO: 233yfWwBZG | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/platforms/create [] | 0.48007106781006 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T09:34:33.247931+00:00] local.INFO: CAHdZ3d70Y | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/designs [] | 0.1298131942749 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/platforms/create ["RESPONSE"] []
[2022-08-21T09:34:34.844302+00:00] local.INFO: 1rw4oHzxaV | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/pricings [] | 0.14069890975952 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/designs ["RESPONSE"] []
[2022-08-21T09:34:36.502672+00:00] local.INFO: 4w56u3kJPO | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/platforms [] | 0.12434697151184 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/pricings ["RESPONSE"] []
[2022-08-21T10:04:19.856639+00:00] local.INFO: 4FxLSksNvv | HTTP/1.1 500 | 127.0.0.1 | null | GET http://localhost:8000 [] | 0.55890417098999 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T10:08:34.858551+00:00] local.INFO: 41WIK3BQVz | HTTP/1.1 500 | 127.0.0.1 | null | GET http://localhost:8000 [] | 0.16163110733032 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T11:03:41.308398+00:00] local.INFO: XQ6NvnpODU | HTTP/1.1 200 | 127.0.0.1 | null | GET http://localhost:8000 [] | 0.31918406486511 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T11:03:41.439378+00:00] local.INFO: ObUbbmJevl | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/ART%20B.png [] | 0.040518045425415 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T11:03:41.457035+00:00] local.INFO: zL8aRezBia | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/github.png [] | 0.0088620185852051 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T11:03:41.470653+00:00] local.INFO: 0FYLDaFce6 | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/pricing.png [] | 0.0078279972076416 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T11:03:43.177592+00:00] local.INFO: Gst7zEyyW0 | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/upwork.png [] | 0.013978004455566 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T11:03:43.194530+00:00] local.INFO: uSsiJ3dzq9 | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/canva.png [] | 0.0093598365783691 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T11:03:43.210883+00:00] local.INFO: Ddw5xR0H4T | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/github.png [] | 0.0096158981323242 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T11:05:58.231224+00:00] local.INFO: IKV0le7UbJ | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/admin/dnas [] | 0.019507884979248 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T11:05:59.956054+00:00] local.INFO: zt6baP94AZ | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin [] | 0.29737210273743 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T11:05:59.975998+00:00] local.INFO: FC7GkHBWqg | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/admin/dnas [] | 0.0076758861541748 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T11:06:01.305320+00:00] local.INFO: tGZc4w0Fhn | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin [] | 0.15108489990234 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T11:06:03.499860+00:00] local.INFO: ELXwA8rU7p | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/designs [] | 0.19746613502502 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin ["RESPONSE"] []
[2022-08-21T11:06:04.006549+00:00] local.INFO: uXZZt3UtCG | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/platforms [] | 0.11235308647156 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/designs ["RESPONSE"] []
[2022-08-21T11:06:06.709705+00:00] local.INFO: Y8xWQ0QxYn | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/platforms/create [] | 0.15480589866638 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/platforms ["RESPONSE"] []
[2022-08-21T11:06:46.495096+00:00] local.INFO: lD5A3AmhZR | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/designs [] | 0.041990041732788 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/platforms/create ["RESPONSE"] []
[2022-08-21T11:06:48.100721+00:00] local.INFO: b1v02UJ3ed | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/designs/create [] | 0.042261123657227 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/designs ["RESPONSE"] []
[2022-08-21T11:06:50.763755+00:00] local.INFO: mCllN5a82j | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/pricings [] | 0.11333990097046 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/designs/create ["RESPONSE"] []
[2022-08-21T11:06:52.442920+00:00] local.INFO: GamelrLCze | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/pricings/create [] | 0.097332954406738 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/pricings ["RESPONSE"] []
[2022-08-21T11:06:56.410130+00:00] local.INFO: OFkZe6hQM3 | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/platforms [] | 0.085254907608032 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/pricings/create ["RESPONSE"] []
[2022-08-21T11:06:58.451589+00:00] local.INFO: 6HaxkMH9Jv | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/platforms/create [] | 0.062381029129028 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/platforms ["RESPONSE"] []
[2022-08-21T11:08:37.442244+00:00] local.INFO: elPvgbTrGM | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/platforms/create [] | 0.056599140167236 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/platforms ["RESPONSE"] []
[2022-08-21T11:11:57.862230+00:00] local.INFO: P6vDEgRWes | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/designs [] | 0.097743034362793 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/platforms/create ["RESPONSE"] []
[2022-08-21T11:11:59.527016+00:00] local.INFO: DXwzWc3tDx | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/designs/create [] | 0.089101076126099 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/designs ["RESPONSE"] []
[2022-08-21T11:12:01.687391+00:00] local.INFO: ku9Tf2XY74 | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/pricings [] | 0.17127299308777 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/designs/create ["RESPONSE"] []
[2022-08-21T11:12:03.241196+00:00] local.INFO: FclAGZXcNk | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/pricings/create [] | 0.12759208679199 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/pricings ["RESPONSE"] []
[2022-08-21T11:12:07.751116+00:00] local.INFO: SFQH4LKpoq | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/platforms [] | 0.10147190093994 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/pricings/create ["RESPONSE"] []
[2022-08-21T11:20:52.711940+00:00] local.INFO: HNJIGirrZv | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/platforms/create [] | 0.053119897842407 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/platforms ["RESPONSE"] []
[2022-08-21T11:21:41.549744+00:00] local.INFO: tyr2hrh74g | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | POST http://localhost:8000/upload [] | 0.061017036437988 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/platforms/create ["RESPONSE"] []
[2022-08-21T11:25:00.374095+00:00] local.INFO: JTmwPEtgt9 | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | POST http://localhost:8000/admin/platforms [] | 0.24589800834656 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/platforms/create ["RESPONSE"] []
[2022-08-21T11:25:00.508666+00:00] local.INFO: wdwIZXJ9Uf | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/platforms [] | 0.093008995056152 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/platforms/create ["RESPONSE"] []
[2022-08-21T11:25:05.376720+00:00] local.INFO: 3D7QFwPk5h | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | POST http://localhost:8000/admin/platforms/1 [] | 0.072388172149658 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/platforms ["RESPONSE"] []
[2022-08-21T11:25:10.082967+00:00] local.INFO: UccTHqcS0J | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/platforms/create [] | 0.053648948669434 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/platforms ["RESPONSE"] []
[2022-08-21T11:25:18.633075+00:00] local.INFO: RIqMMu94Rg | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | POST http://localhost:8000/upload [] | 0.090937852859497 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/platforms/create ["RESPONSE"] []
[2022-08-21T11:25:20.682734+00:00] local.INFO: EW8wAQ8AmW | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | POST http://localhost:8000/admin/platforms [] | 0.11457109451294 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/platforms/create ["RESPONSE"] []
[2022-08-21T11:25:20.834000+00:00] local.INFO: 1ctGFKqVfV | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/platforms [] | 0.091789960861206 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/platforms/create ["RESPONSE"] []
[2022-08-21T11:25:25.880878+00:00] local.INFO: 2HefDVdBQ1 | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/platforms/create [] | 0.10028100013733 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/platforms ["RESPONSE"] []
[2022-08-21T11:25:37.935804+00:00] local.INFO: m4I7Hp3ip0 | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | POST http://localhost:8000/upload [] | 0.045615911483765 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/platforms/create ["RESPONSE"] []
[2022-08-21T11:25:40.682532+00:00] local.INFO: ekkNzqZZzh | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | POST http://localhost:8000/admin/platforms [] | 0.12868785858154 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/platforms/create ["RESPONSE"] []
[2022-08-21T11:25:40.831439+00:00] local.INFO: BkqhHZCbtW | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/platforms [] | 0.093116044998169 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/platforms/create ["RESPONSE"] []
[2022-08-21T11:25:43.922587+00:00] local.INFO: yTOIFc3x4P | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | POST http://localhost:8000/admin/platforms/2 [] | 0.071686029434204 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/platforms ["RESPONSE"] []
[2022-08-21T11:25:50.064224+00:00] local.INFO: 2yNQ42UTFG | HTTP/1.1 200 | 127.0.0.1 | null | GET http://localhost:8000 [] | 0.078738927841187 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T11:25:50.175054+00:00] local.INFO: y0vi7U90Iz | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/ART%20B.png [] | 0.019499063491821 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T11:25:50.194788+00:00] local.INFO: qGYs78jvxI | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/github.png [] | 0.010342836380005 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T11:25:50.219594+00:00] local.INFO: Voks96Q7ZP | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/images/pricing.png [] | 0.012866973876953 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
[2022-08-21T11:25:57.761107+00:00] local.INFO: uldffTzDkR | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/css/bootstrap.min.css.map [] | 0.018868923187256 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/ ["RESPONSE"] []
